phrase,code
how cold is it in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature does the thermometer in the lab show?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how cold is that according to the iot lab thermometer?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature value of the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature of the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature is the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature value does the thermometer in the iot lab show?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check temperature measurement in the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the temperature measurements on the thermometer at the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check thermometer in the iot lab temperature,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the thermometer in the iot lab temperature,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature according to the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature value according to the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show temperature measurements based on the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
read the temperature in the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
i want to know the temperature of the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you tell me the temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature of a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the current temperature of a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's the current temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the value of the temperature in a thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you tell me the temperature of a thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's the temperature in the thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what does the thermometer in the kitchen make it warm?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is that on a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is that on the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what cold is in the kitchen according to a thermometer?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how cold is that according to the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me the temperature value of a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what is the temperature value of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the temperature on the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check your thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
check the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature according to the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature according to the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature according to a thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show the temperature measured in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show temperature measured on the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show the temperature measurement on thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show temperature measurement based on thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
take a temperature reading in the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
read the temperature on the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
tell me about the temperature of the thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
i want to know the temperature of a thermometer in the kitchen,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you show me the temperature of the thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the temperature of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature of a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the current temperature of a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you list the current temperature of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the value of daniel's thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the value of the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the value of the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature of the thermometer that daniel has?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature in the thermometer daniel has right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the temperature in the thermometer daniel has right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature in the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what's the temperature value in the thermometer owned by daniel right now?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how hot is the thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what's hot on the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how much temperature does daniel's thermometer say?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what's cold on daniel's thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
how cold is it according to the thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the temperature of a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show me the temperature value of the thermometer?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what temperature value does the thermometer show?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is a temperature value on a thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what's the temperature value the thermometer shows?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
what is the temperature value the thermometer shows?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the temperature on the thermometer of daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
verify temperature measurement on daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
confirm the temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the temperature of daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check daniel's thermometer temperature,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
check the thermometer of daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the temperature according to daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the temperature according to the thermometer of daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the temperature according to the thermometer of daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show temperature measurements on the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
show the temperature measured on the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
take a look at the temperature on the thermometer of daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
look at the temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read the temperature measurements on the thermometer of daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read temperature measurement on daniel's thermometer,"thermometer(sensor, None, Daniel).readProperty('temperature');"
read the temperature in the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
tell me the temperature of the thermometer daniel has,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the temperature of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you tell me the temperature of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you give me a temperature measurement of the thermometer owned by daniel?,"thermometer(sensor, None, Daniel).readProperty('temperature');"
i would like to know the temperature of the thermometer owned by daniel,"thermometer(sensor, None, Daniel).readProperty('temperature');"
can you show me the current temperature of zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature of the thermometer in zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you tell me the temperature of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's the current temperature of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature value in zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the value of temperature in zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature of zhou thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you tell me the temperature in the zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature in the zhou thermometer right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's the temperature value in the thermometer from zhou right now?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's hot on zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
is it cold in the thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what cold is in zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's cold on zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
how cold is zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature of the thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you tell me the temperature of zhou's thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what is the temperature of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature value of the thermometer from zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
what's the temperature value the thermometer from zhou shows?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check temperature on zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check the temperature on a thermometer in zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check the temperature measurement in the zhou thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
check temperature measurement in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the temperature according to zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show me the temperature according to the zhou thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the temperature according to the zhou thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the temperature according to the zhou thermometer?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the temperature according to the thermometer of zhou?,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show temperature measurements on the zhou thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurement based on zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurement on the zhou thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show temperature measurement on the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show the temperature measurements on the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
show temperature measurement based on the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read temperature measurements on zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read temperature measurement on zhou's thermometer,"thermometer(sensor, None, Zhou).readProperty('temperature');"
read the temperature in the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
tell me the temperature of the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i would like to know the temperature of the thermometer from zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i want to know the temperature of the thermometer of zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
i want to know the temperature of a thermometer in zhou,"thermometer(sensor, None, Zhou).readProperty('temperature');"
can you show me the current temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show me the temperature in michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show me the temperature of michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature in michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the temperature value of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the value of the temperature in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the temperature in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature value in michael's thermometer right now?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
how hot is michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
does michael's thermometer make it warm?,"thermometer(sensor, None, Michael).readProperty('temperature');"
is it hot on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what is the temperature according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's cold on michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
what's the temperature on a michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature value of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the value of michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
see temperature on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
see the temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
check the temperature meter michael,"thermometer(sensor, None, Michael).readProperty('temperature');"
check michael's temperature,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show the temperature according to michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show me the temperature according to michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show me the temperature according to michael's thermometer?,"thermometer(sensor, None, Michael).readProperty('temperature');"
please show the temperature according to michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show temperature measured using michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show the temperature measured with michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
show temperature measurements on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
look at the temperature in michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
take a look at the temperature on michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
read michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
take a look at michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
tell me the temperature of the michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
give me the temperature of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
give me a temperature measurement of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
i'd like to know the temperature of michael's thermometer,"thermometer(sensor, None, Michael).readProperty('temperature');"
can you show the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you tell me the temperature of the thermometer in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature of the thermometer in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the current temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature in the room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature of the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show me the temperature in the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature of the thermometer in room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you tell me the temperature of the thermometer in the room 4443 right now?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature of the thermometer in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's hot inside 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot it is in 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot is it in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot is a thermometer in a room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how warm is the thermometer in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how hot is the temperature on a thermometer in a room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what is the temperature of the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's the temperature in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
is it cold inside 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's cold inside 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's cold in the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold is it in 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
how cold is the room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's cold in 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
is it cold in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
what's the temperature of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you show me the temperature value of the thermometer in room 4443?,"thermometer(sensor, 4.443, None).readProperty('temperature');"
the temperature is measured using a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
temperature measurement is made with a thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
temperature measurements are made using a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
the temperature measurement is done by thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the temperature on the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the room temperature 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
check temperature thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
please show me the temperature according to the thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
please show the temperature according to the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measured with a thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show temperature measured with a thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
show the temperature measurement on the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
take a temperature reading in the thermometer in room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
read the temperature on the thermometer in the room 4443,"thermometer(sensor, 4.443, None).readProperty('temperature');"
can you tell me the temperature of the thermometer?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the value of temperature in iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature of the thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature in a thermometer in the lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature in a thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature of the thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you tell me the temperature in the lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature of the thermometer in the lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature of the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature in the thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's the temperature in the thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature value of a thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the temperature in the thermometer in the iot lab right now?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's hot on a thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's hot on the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how hot is it in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's the temperature on the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
is it cold in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's cold at iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's cold in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's cold in iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
how cold is the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the temperature of the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature does a thermometer in the lab show?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what's cold on the lab thermometer?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature of the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature value of the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature of the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is a temperature in an iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what is the temperature of the thermometer in the iot lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
what temperature does the thermometer in the iot lab show?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check temperature in the thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the temperature measurements on the thermometer in the lab of the iot,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check temperature measurements on the thermometer at the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
check the temperature of the thermometer in the lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
can you show me the temperature according to the thermometer?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature according to the thermometer in the lab?,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show temperature measurements based on thermometer in the iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
read the temperature on the thermometer at iot lab,"thermometer(sensor, IoT_lab, None).readProperty('temperature');"
show me the temperature of a thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the current temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
can you tell me the temperature of the thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's the temperature of the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
show me the temperature in the thermometer in the kitchen right now?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is the thermometer in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what makes a thermometer warm?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how do you make a thermometer in the kitchen warm?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what does the thermometer in the kitchen do to make it warm?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
what's hot on a thermometer?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
how hot is it in the kitchen?,"thermometer(sensor, kitchen, None).readProperty('temperature');"
